,Central Europe and the Baltics,United Kingdom,United States,Argentina,Australia,Brazil,Canada,China,France,Germany,India,Indonesia,Italy,Japan,Mexico,Russian Federation,Saudi Arabia,South Africa,"Korea, Rep.",Turkey
1981,0.0,25.4279684114685,9.50617199363679,6.9210494803617,14.8947347683902,9.42035430772259,26.4427804456841,7.44762753758256,21.8115866969725,20.190086669762,5.99838836761016,27.6304440372406,21.7329520087952,14.4013436808381,10.4087556883151,0.0,62.8186926802349,27.4705639192991,29.9560051901711,8.23693203391976
1982,0.0,25.0881296003582,8.46665955155036,9.09049307859512,13.5247836796923,7.60968270162801,25.2437476245757,11.0660869282019,21.2493536887365,20.9272773791086,6.04615822512264,22.379034286615,21.1858718095132,14.2045187166801,15.3310989669577,0.0,50.7317249597399,25.6185924160041,27.3670122021998,11.8640513905568
1983,0.0,25.2147835765214,7.61367700006899,9.15152068682071,13.5801556153038,11.4218215925107,24.9721819147897,9.65847097609992,22.2736575083944,20.347087445712,5.89895744000615,27.7454082629556,20.3963592308803,13.6350744690489,19.0024048437836,0.0,38.4686570107195,23.9562583427457,27.9890740817548,12.4732126163184
1984,0.0,26.955366483545,7.48344405278995,7.5898953117888,13.5584811880169,13.547584918489,27.9884756530789,9.52973080991963,23.6624354609609,21.7851851327338,6.34941252729331,26.4027945615865,21.0701561025633,14.7227039878195,17.3811366778736,0.0,34.5219400414652,24.6880039262427,29.4217756975735,15.6066026885362
1985,0.0,27.300434752958,6.97555912094,11.7360980207352,15.2363141788507,12.2479596662611,27.5938362696381,8.58320460715031,23.1431843673119,23.0019500747403,5.30975744379299,22.8789241644919,21.1784698176016,14.0972461349115,15.4148915722455,0.0,30.071110071801,30.4421458732039,27.330707614432,15.8607228847003
1986,0.0,24.3153311756204,6.99322789753287,8.16197754429543,14.9886795349016,8.81658867805845,27.0296501096387,8.7853579441414,20.2173003983596,21.3455537647152,5.25081127894385,19.5131155901894,18.7622823356937,11.1016532630951,17.3407412317212,0.0,26.7029998136762,29.601591817952,32.4752897185984,13.3124377193893
1987,0.0,23.8441733247069,7.47284977240234,7.87320581340031,15.4669182521795,9.4599432176942,26.0362354570347,12.8550806186651,19.4316996326005,20.7397885166044,5.66346057644437,23.934499254508,18.0401657670763,10.1482547562947,19.498267776785,0.0,30.8617740261925,29.3086908544464,34.8818558977213,15.580840422955
1988,0.0,21.4733307535506,8.46435185123488,9.53161297293404,15.9546441941795,10.8882167136928,26.0760312683676,14.735212879766,20.1960526938686,21.1479613915212,6.0986235830226,24.3943906187546,17.6328360317003,9.76623993470796,19.927874027508,0.0,31.3237665610752,28.1882420360383,33.0283036285671,18.6539704158267
1989,0.0,21.9290672924845,8.91336804595089,13.0584089085641,15.1143724311675,8.92960968014427,25.0546316585604,12.3801462947549,21.4830466604851,22.3608117328151,7.08983919592646,25.4239771940853,18.5744354331795,10.2395572454159,18.9969416386761,21.9022687609075,33.7456765574895,25.8672601125802,27.8571166477085,16.2029157514894
1990,26.0726364830095,22.5960413726118,9.22929652857412,10.3595365925264,15.1149746230523,8.19999001540815,25.0721143092972,14.0257463717818,20.8119573749772,22.8984997616622,7.12745017151666,26.5612697932281,18.316411855521,10.2897978793862,18.6007926706848,18.1620614715927,40.3347940771071,23.4949209120617,25.3399004513123,13.3651028519295
