SERIES,DESCRIPTION,,,,,,,,,,,,,
XUDLBK23,Spot exchange rate - Cyprus Pound into Euro,,,,,,,,,,,,,
XUDLBK26,Spot exchange rate - Czech Koruna into Euro,,,,,,,,,,,,,
XUDLBK29,Spot exchange rate - Estonian Kroon into Euro,,,,,,,,,,,,,
XUDLBK34,Spot exchange rate - Hungarian Forint into Euro,,,,,,,,,,,,,
XUDLBK37,Spot exchange rate - Lithuanian Litas into Euro,,,,,,,,,,,,,
XUDLBK42,Spot exchange rate - Latvian Lats into Euro,,,,,,,,,,,,,
Currency joined the Euro on 01/01/2014,,,,,,,,,,,,,,
XUDLBK45,Spot exchange rate - Maltese Lira into Euro,,,,,,,,,,,,,
XUDLBK48,Spot exchange rate - Polish Zloty into Euro,,,,,,,,,,,,,
XUDLBK53,Spot exchange rate - Slovenian Tolar into Euro,,,,,,,,,,,,,
XUDLBK56,Spot exchange rate - Slovak Koruna into Euro,,,,,,,,,,,,,
XUDLBK63,Spot exchange rate - Japanese Yen into Euro,,,,,,,,,,,,,
XUDLBK68,Spot exchange rate - Swiss Franc into Euro,,,,,,,,,,,,,
XUDLBK76,Spot exchange rate - Danish Krone into Euro,,,,,,,,,,,,,
XUDLSER,Spot exchange rate - Sterling into Euro,,,,,,,,,,,,,
,,,,,,,,,,,,,,
DATE,XUDLBK23,XUDLBK26,XUDLBK29,XUDLBK34,XUDLBK37,XUDLBK42,XUDLBK45,XUDLBK48,XUDLBK53,XUDLBK56,XUDLBK63,XUDLBK68,XUDLBK76,XUDLSER
23-Sep-87,,,,,,,,,,,,,,0.7021
24-Sep-87,,,,,,,,,,,,,,0.7047
25-Sep-87,,,,,,,,,,,,,,0.7044
28-Sep-87,,,,,,,,,,,,,,0.7014
29-Sep-87,,,,,,,,,,,,,,0.7022
30-Sep-87,,,,,,,,,,,,,,0.7019
01-Oct-87,,,,,,,,,,,,,,0.7042
02-Oct-87,,,,,,,,,,,,,,0.7021
05-Oct-87,,,,,,,,,,,,,,0.7027
06-Oct-87,,,,,,,,,,,,,,0.7017
07-Oct-87,,,,,,,,,,,,,,0.7015
08-Oct-87,,,,,,,,,,,,,,0.7021
09-Oct-87,,,,,,,,,,,,,,0.7017
12-Oct-87,,,,,,,,,,,,,,0.7012
13-Oct-87,,,,,,,,,,,,,,0.7008
14-Oct-87,,,,,,,,,,,,,,0.7017
15-Oct-87,,,,,,,,,,,,,,0.7016
16-Oct-87,,,,,,,,,,,,,,0.7012
19-Oct-87,,,,,,,,,,,,,,0.7027
20-Oct-87,,,,,,,,,,,,,,0.7027
21-Oct-87,,,,,,,,,,,,,,0.7028
22-Oct-87,,,,,,,,,,,,,,0.7031
23-Oct-87,,,,,,,,,,,,,,0.7023
26-Oct-87,,,,,,,,,,,,,,0.701
27-Oct-87,,,,,,,,,,,,,,0.7013
28-Oct-87,,,,,,,,,,,,,,0.7003
29-Oct-87,,,,,,,,,,,,,,0.7003
30-Oct-87,,,,,,,,,,,,,,0.7
02-Nov-87,,,,,,,,,,,,,,0.701
03-Nov-87,,,,,,,,,,,,,,0.6982
04-Nov-87,,,,,,,,,,,,,,0.6975
05-Nov-87,,,,,,,,,,,,,,0.6988
06-Nov-87,,,,,,,,,,,,,,0.6962
09-Nov-87,,,,,,,,,,,,,,0.6987
10-Nov-87,,,,,,,,,,,,,,0.6996
11-Nov-87,,,,,,,,,,,,,,0.6985
12-Nov-87,,,,,,,,,,,,,,0.6985
13-Nov-87,,,,,,,,,,,,,,0.6969
16-Nov-87,,,,,,,,,,,,,,0.6991
17-Nov-87,,,,,,,,,,,,,,0.6993
18-Nov-87,,,,,,,,,,,,,,0.6978
19-Nov-87,,,,,,,,,,,,,,0.697
20-Nov-87,,,,,,,,,,,,,,0.6957
23-Nov-87,,,,,,,,,,,,,,0.6969
24-Nov-87,,,,,,,,,,,,,,0.6971
25-Nov-87,,,,,,,,,,,,,,0.6958
26-Nov-87,,,,,,,,,,,,,,0.6966
27-Nov-87,,,,,,,,,,,,,,0.695
30-Nov-87,,,,,,,,,,,,,,0.6943
01-Dec-87,,,,,,,,,,,,,,0.694
02-Dec-87,,,,,,,,,,,,,,0.6939
03-Dec-87,,,,,,,,,,,,,,0.6945
04-Dec-87,,,,,,,,,,,,,,0.6949
07-Dec-87,,,,,,,,,,,,,,0.6949
08-Dec-87,,,,,,,,,,,,,,0.6952
09-Dec-87,,,,,,,,,,,,,,0.6949
10-Dec-87,,,,,,,,,,,,,,0.6946
11-Dec-87,,,,,,,,,,,,,,0.694
14-Dec-87,,,,,,,,,,,,,,0.6951
15-Dec-87,,,,,,,,,,,,,,0.6966
16-Dec-87,,,,,,,,,,,,,,0.6977
17-Dec-87,,,,,,,,,,,,,,0.6994
18-Dec-87,,,,,,,,,,,,,,0.6993
21-Dec-87,,,,,,,,,,,,,,0.6978
22-Dec-87,,,,,,,,,,,,,,0.6989
23-Dec-87,,,,,,,,,,,,,,0.6985
24-Dec-87,,,,,,,,,,,,,,0.6977
29-Dec-87,,,,,,,,,,,,,,0.7018
30-Dec-87,,,,,,,,,,,,,,0.7016
31-Dec-87,,,,,,,,,,,,,,0.7021
04-Jan-88,,,,,,,,,,,,,,0.7
05-Jan-88,,,,,,,,,,,,,,0.7006
06-Jan-88,,,,,,,,,,,,,,0.6998
07-Jan-88,,,,,,,,,,,,,,0.7001
08-Jan-88,,,,,,,,,,,,,,0.6988
11-Jan-88,,,,,,,,,,,,,,0.699
12-Jan-88,,,,,,,,,,,,,,0.6998
13-Jan-88,,,,,,,,,,,,,,0.6998
14-Jan-88,,,,,,,,,,,,,,0.7001
15-Jan-88,,,,,,,,,,,,,,0.7008
18-Jan-88,,,,,,,,,,,,,,0.6996
19-Jan-88,,,,,,,,,,,,,,0.6997
20-Jan-88,,,,,,,,,,,,,,0.7
21-Jan-88,,,,,,,,,,,,,,0.6985
22-Jan-88,,,,,,,,,,,,,,0.6993
25-Jan-88,,,,,,,,,,,,,,0.7018
26-Jan-88,,,,,,,,,,,,,,0.7023
27-Jan-88,,,,,,,,,,,,,,0.7012
28-Jan-88,,,,,,,,,,,,,,0.7024
29-Jan-88,,,,,,,,,,,,,,0.7026
01-Feb-88,,,,,,,,,,,,,,0.7018
02-Feb-88,,,,,,,,,,,,,,0.7009
03-Feb-88,,,,,,,,,,,,,,0.6997
04-Feb-88,,,,,,,,,,,,,,0.6997
05-Feb-88,,,,,,,,,,,,,,0.7009
08-Feb-88,,,,,,,,,,,,,,0.7011
09-Feb-88,,,,,,,,,,,,,,0.7028
10-Feb-88,,,,,,,,,,,,,,0.7
11-Feb-88,,,,,,,,,,,,,,0.7004
12-Feb-88,,,,,,,,,,,,,,0.7003
15-Feb-88,,,,,,,,,,,,,,0.6997
16-Feb-88,,,,,,,,,,,,,,0.6986
17-Feb-88,,,,,,,,,,,,,,0.6986
18-Feb-88,,,,,,,,,,,,,,0.6991
19-Feb-88,,,,,,,,,,,,,,0.6991
22-Feb-88,,,,,,,,,,,,,,0.6975
23-Feb-88,,,,,,,,,,,,,,0.6976
24-Feb-88,,,,,,,,,,,,,,0.6973
25-Feb-88,,,,,,,,,,,,,,0.6969
26-Feb-88,,,,,,,,,,,,,,0.6965
29-Feb-88,,,,,,,,,,,,,,0.6963
01-Mar-88,,,,,,,,,,,,,,0.6962
02-Mar-88,,,,,,,,,,,,,,0.6959
03-Mar-88,,,,,,,,,,,,,,0.6955
04-Mar-88,,,,,,,,,,,,,,0.6955
07-Mar-88,,,,,,,,,,,,,,0.6848
08-Mar-88,,,,,,,,,,,,,,0.6785
09-Mar-88,,,,,,,,,,,,,,0.6766
10-Mar-88,,,,,,,,,,,,,,0.6779
11-Mar-88,,,,,,,,,,,,,,0.6754
14-Mar-88,,,,,,,,,,,,,,0.6766
15-Mar-88,,,,,,,,,,,,,,0.6735
16-Mar-88,,,,,,,,,,,,,,0.6742
17-Mar-88,,,,,,,,,,,,,,0.672
18-Mar-88,,,,,,,,,,,,,,0.6745
21-Mar-88,,,,,,,,,,,,,,0.6738
22-Mar-88,,,,,,,,,,,,,,0.6723
23-Mar-88,,,,,,,,,,,,,,0.6703
24-Mar-88,,,,,,,,,,,,,,0.6733
25-Mar-88,,,,,,,,,,,,,,0.6768
28-Mar-88,,,,,,,,,,,,,,0.6754
29-Mar-88,,,,,,,,,,,,,,0.6702
30-Mar-88,,,,,,,,,,,,,,0.6703
31-Mar-88,,,,,,,,,,,,,,0.6671
05-Apr-88,,,,,,,,,,,,,,0.6643
06-Apr-88,,,,,,,,,,,,,,0.6652
07-Apr-88,,,,,,,,,,,,,,0.6652
08-Apr-88,,,,,,,,,,,,,,0.6645
11-Apr-88,,,,,,,,,,,,,,0.6674
12-Apr-88,,,,,,,,,,,,,,0.6674
13-Apr-88,,,,,,,,,,,,,,0.6688
14-Apr-88,,,,,,,,,,,,,,0.6677
15-Apr-88,,,,,,,,,,,,,,0.6645
18-Apr-88,,,,,,,,,,,,,,0.6615
19-Apr-88,,,,,,,,,,,,,,0.6619
20-Apr-88,,,,,,,,,,,,,,0.6617
21-Apr-88,,,,,,,,,,,,,,0.6599
22-Apr-88,,,,,,,,,,,,,,0.6604
25-Apr-88,,,,,,,,,,,,,,0.663
26-Apr-88,,,,,,,,,,,,,,0.6636
27-Apr-88,,,,,,,,,,,,,,0.6639
28-Apr-88,,,,,,,,,,,,,,0.666
29-Apr-88,,,,,,,,,,,,,,0.6615
03-May-88,,,,,,,,,,,,,,0.6637
04-May-88,,,,,,,,,,,,,,0.6649
05-May-88,,,,,,,,,,,,,,0.6645
06-May-88,,,,,,,,,,,,,,0.6648
09-May-88,,,,,,,,,,,,,,0.6595
10-May-88,,,,,,,,,,,,,,0.6597
11-May-88,,,,,,,,,,,,,,0.6582
12-May-88,,,,,,,,,,,,,,0.658
13-May-88,,,,,,,,,,,,,,0.6553
16-May-88,,,,,,,,,,,,,,0.6532
17-May-88,,,,,,,,,,,,,,0.6582
18-May-88,,,,,,,,,,,,,,0.6578
19-May-88,,,,,,,,,,,,,,0.6575
20-May-88,,,,,,,,,,,,,,0.6578
23-May-88,,,,,,,,,,,,,,0.6566
24-May-88,,,,,,,,,,,,,,0.6567
25-May-88,,,,,,,,,,,,,,0.6572
26-May-88,,,,,,,,,,,,,,0.6569
27-May-88,,,,,,,,,,,,,,0.6565
31-May-88,,,,,,,,,,,,,,0.658
01-Jun-88,,,,,,,,,,,,,,0.6619
02-Jun-88,,,,,,,,,,,,,,0.67
03-Jun-88,,,,,,,,,,,,,,0.6724
06-Jun-88,,,,,,,,,,,,,,0.6732
07-Jun-88,,,,,,,,,,,,,,0.6686
08-Jun-88,,,,,,,,,,,,,,0.6689
09-Jun-88,,,,,,,,,,,,,,0.668
10-Jun-88,,,,,,,,,,,,,,0.6675
13-Jun-88,,,,,,,,,,,,,,0.6643
14-Jun-88,,,,,,,,,,,,,,0.6677
15-Jun-88,,,,,,,,,,,,,,0.6666
16-Jun-88,,,,,,,,,,,,,,0.667
17-Jun-88,,,,,,,,,,,,,,0.6675
20-Jun-88,,,,,,,,,,,,,,0.6648
21-Jun-88,,,,,,,,,,,,,,0.6649
22-Jun-88,,,,,,,,,,,,,,0.6633
23-Jun-88,,,,,,,,,,,,,,0.6652
24-Jun-88,,,,,,,,,,,,,,0.6657
27-Jun-88,,,,,,,,,,,,,,0.6731
28-Jun-88,,,,,,,,,,,,,,0.6718
29-Jun-88,,,,,,,,,,,,,,0.6683
30-Jun-88,,,,,,,,,,,,,,0.6714
01-Jul-88,,,,,,,,,,,,,,0.6729
04-Jul-88,,,,,,,,,,,,,,0.6771
05-Jul-88,,,,,,,,,,,,,,0.6713
06-Jul-88,,,,,,,,,,,,,,0.6679
07-Jul-88,,,,,,,,,,,,,,0.6694
08-Jul-88,,,,,,,,,,,,,,0.6693
11-Jul-88,,,,,,,,,,,,,,0.6693
12-Jul-88,,,,,,,,,,,,,,0.6703
13-Jul-88,,,,,,,,,,,,,,0.6679
14-Jul-88,,,,,,,,,,,,,,0.6683
15-Jul-88,,,,,,,,,,,,,,0.6693
18-Jul-88,,,,,,,,,,,,,,0.664
19-Jul-88,,,,,,,,,,,,,,0.6611
20-Jul-88,,,,,,,,,,,,,,0.6597
21-Jul-88,,,,,,,,,,,,,,0.6583
22-Jul-88,,,,,,,,,,,,,,0.6576
25-Jul-88,,,,,,,,,,,,,,0.6548
26-Jul-88,,,,,,,,,,,,,,0.6557
27-Jul-88,,,,,,,,,,,,,,0.6548
28-Jul-88,,,,,,,,,,,,,,0.6505
29-Jul-88,,,,,,,,,,,,,,0.6526
01-Aug-88,,,,,,,,,,,,,,0.6499
02-Aug-88,,,,,,,,,,,,,,0.6509
03-Aug-88,,,,,,,,,,,,,,0.6517
04-Aug-88,,,,,,,,,,,,,,0.6504
05-Aug-88,,,,,,,,,,,,,,0.6516
08-Aug-88,,,,,,,,,,,,,,0.6476
09-Aug-88,,,,,,,,,,,,,,0.6471
10-Aug-88,,,,,,,,,,,,,,0.6443
11-Aug-88,,,,,,,,,,,,,,0.6454
12-Aug-88,,,,,,,,,,,,,,0.6478
15-Aug-88,,,,,,,,,,,,,,0.6468
16-Aug-88,,,,,,,,,,,,,,0.6479
17-Aug-88,,,,,,,,,,,,,,0.6448
18-Aug-88,,,,,,,,,,,,,,0.6468
19-Aug-88,,,,,,,,,,,,,,0.6478
22-Aug-88,,,,,,,,,,,,,,0.6485
23-Aug-88,,,,,,,,,,,,,,0.6509
24-Aug-88,,,,,,,,,,,,,,0.6546
25-Aug-88,,,,,,,,,,,,,,0.6582
26-Aug-88,,,,,,,,,,,,,,0.6623
30-Aug-88,,,,,,,,,,,,,,0.6592
31-Aug-88,,,,,,,,,,,,,,0.6595
01-Sep-88,,,,,,,,,,,,,,0.6617
02-Sep-88,,,,,,,,,,,,,,0.6666
05-Sep-88,,,,,,,,,,,,,,0.6652
06-Sep-88,,,,,,,,,,,,,,0.662
07-Sep-88,,,,,,,,,,,,,,0.6612
08-Sep-88,,,,,,,,,,,,,,0.6623
09-Sep-88,,,,,,,,,,,,,,0.6621
12-Sep-88,,,,,,,,,,,,,,0.6633
13-Sep-88,,,,,,,,,,,,,,0.663
14-Sep-88,,,,,,,,,,,,,,0.6612
15-Sep-88,,,,,,,,,,,,,,0.6605
16-Sep-88,,,,,,,,,,,,,,0.6613
19-Sep-88,,,,,,,,,,,,,,0.663
20-Sep-88,,,,,,,,,,,,,,0.6607
21-Sep-88,,,,,,,,,,,,,,0.6628
22-Sep-88,,,,,,,,,,,,,,0.6636
23-Sep-88,,,,,,,,,,,,,,0.6636
26-Sep-88,,,,,,,,,,,,,,0.6628
27-Sep-88,,,,,,,,,,,,,,0.6596
28-Sep-88,,,,,,,,,,,,,,0.6578
29-Sep-88,,,,,,,,,,,,,,0.6572
30-Sep-88,,,,,,,,,,,,,,0.6568
03-Oct-88,,,,,,,,,,,,,,0.6583
04-Oct-88,,,,,,,,,,,,,,0.6597
05-Oct-88,,,,,,,,,,,,,,0.6591
06-Oct-88,,,,,,,,,,,,,,0.659
07-Oct-88,,,,,,,,,,,,,,0.658
10-Oct-88,,,,,,,,,,,,,,0.655
11-Oct-88,,,,,,,,,,,,,,0.6539
12-Oct-88,,,,,,,,,,,,,,0.6536
13-Oct-88,,,,,,,,,,,,,,0.6546
14-Oct-88,,,,,,,,,,,,,,0.6519
17-Oct-88,,,,,,,,,,,,,,0.6552
18-Oct-88,,,,,,,,,,,,,,0.6575
19-Oct-88,,,,,,,,,,,,,,0.6562
20-Oct-88,,,,,,,,,,,,,,0.6545
21-Oct-88,,,,,,,,,,,,,,0.6588
24-Oct-88,,,,,,,,,,,,,,0.6642
25-Oct-88,,,,,,,,,,,,,,0.6627
26-Oct-88,,,,,,,,,,,,,,0.6653
27-Oct-88,,,,,,,,,,,,,,0.6624
28-Oct-88,,,,,,,,,,,,,,0.6617
31-Oct-88,,,,,,,,,,,,,,0.6608
01-Nov-88,,,,,,,,,,,,,,0.6584
02-Nov-88,,,,,,,,,,,,,,0.6585
03-Nov-88,,,,,,,,,,,,,,0.6589
04-Nov-88,,,,,,,,,,,,,,0.6563
07-Nov-88,,,,,,,,,,,,,,0.6569
08-Nov-88,,,,,,,,,,,,,,0.6572
09-Nov-88,,,,,,,,,,,,,,0.6581
10-Nov-88,,,,,,,,,,,,,,0.6587
11-Nov-88,,,,,,,,,,,,,,0.6599
14-Nov-88,,,,,,,,,,,,,,0.6585
15-Nov-88,,,,,,,,,,,,,,0.6594
16-Nov-88,,,,,,,,,,,,,,0.6609
17-Nov-88,,,,,,,,,,,,,,0.6593
18-Nov-88,,,,,,,,,,,,,,0.6593
21-Nov-88,,,,,,,,,,,,,,0.6604
22-Nov-88,,,,,,,,,,,,,,0.6602
23-Nov-88,,,,,,,,,,,,,,0.6605
24-Nov-88,,,,,,,,,,,,,,0.6606
25-Nov-88,,,,,,,,,,,,,,0.6566
28-Nov-88,,,,,,,,,,,,,,0.6539
29-Nov-88,,,,,,,,,,,,,,0.6525
30-Nov-88,,,,,,,,,,,,,,0.6484
01-Dec-88,,,,,,,,,,,,,,0.6491
02-Dec-88,,,,,,,,,,,,,,0.648
05-Dec-88,,,,,,,,,,,,,,0.6467
06-Dec-88,,,,,,,,,,,,,,0.6457
07-Dec-88,,,,,,,,,,,,,,0.644
08-Dec-88,,,,,,,,,,,,,,0.6455
09-Dec-88,,,,,,,,,,,,,,0.6506
12-Dec-88,,,,,,,,,,,,,,0.6495
13-Dec-88,,,,,,,,,,,,,,0.6528
14-Dec-88,,,,,,,,,,,,,,0.6548
15-Dec-88,,,,,,,,,,,,,,0.6522
16-Dec-88,,,,,,,,,,,,,,0.6526
19-Dec-88,,,,,,,,,,,,,,0.6497
20-Dec-88,,,,,,,,,,,,,,0.6499
21-Dec-88,,,,,,,,,,,,,,0.6524
22-Dec-88,,,,,,,,,,,,,,0.654
23-Dec-88,,,,,,,,,,,,,,0.6527
28-Dec-88,,,,,,,,,,,,,,0.6521
29-Dec-88,,,,,,,,,,,,,,0.6523
30-Dec-88,,,,,,,,,,,,,,0.6513
03-Jan-89,,,,,,,,,,,,,,0.649
04-Jan-89,,,,,,,,,,,,,,0.647
05-Jan-89,,,,,,,,,,,,,,0.6486
06-Jan-89,,,,,,,,,,,,,,0.6483
09-Jan-89,,,,,,,,,,,,,,0.6488
10-Jan-89,,,,,,,,,,,,,,0.6478
11-Jan-89,,,,,,,,,,,,,,0.6433
12-Jan-89,,,,,,,,,,,,,,0.6429
13-Jan-89,,,,,,,,,,,,,,0.6421
16-Jan-89,,,,,,,,,,,,,,0.6401
17-Jan-89,,,,,,,,,,,,,,0.6396
18-Jan-89,,,,,,,,,,,,,,0.6383
19-Jan-89,,,,,,,,,,,,,,0.6399
20-Jan-89,,,,,,,,,,,,,,0.6428
23-Jan-89,,,,,,,,,,,,,,0.6425
24-Jan-89,,,,,,,,,,,,,,0.6444
25-Jan-89,,,,,,,,,,,,,,0.6425
26-Jan-89,,,,,,,,,,,,,,0.6414
27-Jan-89,,,,,,,,,,,,,,0.6406
30-Jan-89,,,,,,,,,,,,,,0.6394
31-Jan-89,,,,,,,,,,,,,,0.6385
01-Feb-89,,,,,,,,,,,,,,0.6393
02-Feb-89,,,,,,,,,,,,,,0.6395
03-Feb-89,,,,,,,,,,,,,,0.6399
06-Feb-89,,,,,,,,,,,,,,0.6436
07-Feb-89,,,,,,,,,,,,,,0.6442
08-Feb-89,,,,,,,,,,,,,,0.643
09-Feb-89,,,,,,,,,,,,,,0.6425
10-Feb-89,,,,,,,,,,,,,,0.6418
13-Feb-89,,,,,,,,,,,,,,0.6409
14-Feb-89,,,,,,,,,,,,,,0.6414
15-Feb-89,,,,,,,,,,,,,,0.6419
16-Feb-89,,,,,,,,,,,,,,0.6414
17-Feb-89,,,,,,,,,,,,,,0.6418
20-Feb-89,,,,,,,,,,,,,,0.6433
21-Feb-89,,,,,,,,,,,,,,0.649
22-Feb-89,,,,,,,,,,,,,,0.6521
23-Feb-89,,,,,,,,,,,,,,0.6521
24-Feb-89,,,,,,,,,,,,,,0.6536
27-Feb-89,,,,,,,,,,,,,,0.6602
28-Feb-89,,,,,,,,,,,,,,0.6583
01-Mar-89,,,,,,,,,,,,,,0.66
02-Mar-89,,,,,,,,,,,,,,0.6579
03-Mar-89,,,,,,,,,,,,,,0.6593
06-Mar-89,,,,,,,,,,,,,,0.6567
07-Mar-89,,,,,,,,,,,,,,0.6564
08-Mar-89,,,,,,,,,,,,,,0.656
09-Mar-89,,,,,,,,,,,,,,0.6554
10-Mar-89,,,,,,,,,,,,,,0.6557
13-Mar-89,,,,,,,,,,,,,,0.6551
14-Mar-89,,,,,,,,,,,,,,0.6545
15-Mar-89,,,,,,,,,,,,,,0.652
16-Mar-89,,,,,,,,,,,,,,0.6523
17-Mar-89,,,,,,,,,,,,,,0.652
20-Mar-89,,,,,,,,,,,,,,0.6533
21-Mar-89,,,,,,,,,,,,,,0.6511
22-Mar-89,,,,,,,,,,,,,,0.6509
23-Mar-89,,,,,,,,,,,,,,0.6518
28-Mar-89,,,,,,,,,,,,,,0.6569
29-Mar-89,,,,,,,,,,,,,,0.6567
30-Mar-89,,,,,,,,,,,,,,0.6585
31-Mar-89,,,,,,,,,,,,,,0.6563
03-Apr-89,,,,,,,,,,,,,,0.6609
04-Apr-89,,,,,,,,,,,,,,0.658
05-Apr-89,,,,,,,,,,,,,,0.6593
06-Apr-89,,,,,,,,,,,,,,0.6592
07-Apr-89,,,,,,,,,,,,,,0.66
10-Apr-89,,,,,,,,,,,,,,0.658
11-Apr-89,,,,,,,,,,,,,,0.6569
12-Apr-89,,,,,,,,,,,,,,0.6585
13-Apr-89,,,,,,,,,,,,,,0.6592
14-Apr-89,,,,,,,,,,,,,,0.6598
17-Apr-89,,,,,,,,,,,,,,0.6589
18-Apr-89,,,,,,,,,,,,,,0.6587
19-Apr-89,,,,,,,,,,,,,,0.6591
20-Apr-89,,,,,,,,,,,,,,0.6625
21-Apr-89,,,,,,,,,,,,,,0.6609
24-Apr-89,,,,,,,,,,,,,,0.661
25-Apr-89,,,,,,,,,,,,,,0.6612
26-Apr-89,,,,,,,,,,,,,,0.6613
27-Apr-89,,,,,,,,,,,,,,0.6616
28-Apr-89,,,,,,,,,,,,,,0.6616
02-May-89,,,,,,,,,,,,,,0.6612
03-May-89,,,,,,,,,,,,,,0.6603
04-May-89,,,,,,,,,,,,,,0.66
05-May-89,,,,,,,,,,,,,,0.6612
08-May-89,,,,,,,,,,,,,,0.6609
09-May-89,,,,,,,,,,,,,,0.661
10-May-89,,,,,,,,,,,,,,0.6606
11-May-89,,,,,,,,,,,,,,0.6592
12-May-89,,,,,,,,,,,,,,0.6596
15-May-89,,,,,,,,,,,,,,0.6605
16-May-89,,,,,,,,,,,,,,0.6601
17-May-89,,,,,,,,,,,,,,0.66
18-May-89,,,,,,,,,,,,,,0.659
19-May-89,,,,,,,,,,,,,,0.6589
22-May-89,,,,,,,,,,,,,,0.6616
23-May-89,,,,,,,,,,,,,,0.6658
24-May-89,,,,,,,,,,,,,,0.6663
25-May-89,,,,,,,,,,,,,,0.6672
26-May-89,,,,,,,,,,,,,,0.6651
30-May-89,,,,,,,,,,,,,,0.6694
31-May-89,,,,,,,,,,,,,,0.674
01-Jun-89,,,,,,,,,,,,,,0.6726
02-Jun-89,,,,,,,,,,,,,,0.6742
05-Jun-89,,,,,,,,,,,,,,0.6768
06-Jun-89,,,,,,,,,,,,,,0.6744
07-Jun-89,,,,,,,,,,,,,,0.6741
08-Jun-89,,,,,,,,,,,,,,0.6729
09-Jun-89,,,,,,,,,,,,,,0.6738
12-Jun-89,,,,,,,,,,,,,,0.6789
13-Jun-89,,,,,,,,,,,,,,0.6822
14-Jun-89,,,,,,,,,,,,,,0.6831
15-Jun-89,,,,,,,,,,,,,,0.6842
16-Jun-89,,,,,,,,,,,,,,0.6838
19-Jun-89,,,,,,,,,,,,,,0.6858
20-Jun-89,,,,,,,,,,,,,,0.684
21-Jun-89,,,,,,,,,,,,,,0.6875
22-Jun-89,,,,,,,,,,,,,,0.688
23-Jun-89,,,,,,,,,,,,,,0.6907
26-Jun-89,,,,,,,,,,,,,,0.6947
27-Jun-89,,,,,,,,,,,,,,0.6871
28-Jun-89,,,,,,,,,,,,,,0.6862
29-Jun-89,,,,,,,,,,,,,,0.6907
30-Jun-89,,,,,,,,,,,,,,0.692
03-Jul-89,,,,,,,,,,,,,,0.69
04-Jul-89,,,,,,,,,,,,,,0.6878
05-Jul-89,,,,,,,,,,,,,,0.6851
06-Jul-89,,,,,,,,,,,,,,0.685
07-Jul-89,,,,,,,,,,,,,,0.685
10-Jul-89,,,,,,,,,,,,,,0.6869
11-Jul-89,,,,,,,,,,,,,,0.6868
12-Jul-89,,,,,,,,,,,,,,0.6892
13-Jul-89,,,,,,,,,,,,,,0.6873
14-Jul-89,,,,,,,,,,,,,,0.6843
17-Jul-89,,,,,,,,,,,,,,0.6813
18-Jul-89,,,,,,,,,,,,,,0.6826
19-Jul-89,,,,,,,,,,,,,,0.6815
20-Jul-89,,,,,,,,,,,,,,0.6801
21-Jul-89,,,,,,,,,,,,,,0.68
24-Jul-89,,,,,,,,,,,,,,0.6799
25-Jul-89,,,,,,,,,,,,,,0.6824
26-Jul-89,,,,,,,,,,,,,,0.6799
27-Jul-89,,,,,,,,,,,,,,0.677
28-Jul-89,,,,,,,,,,,,,,0.6766
31-Jul-89,,,,,,,,,,,,,,0.677
01-Aug-89,,,,,,,,,,,,,,0.6813
02-Aug-89,,,,,,,,,,,,,,0.6828
03-Aug-89,,,,,,,,,,,,,,0.6868
04-Aug-89,,,,,,,,,,,,,,0.6854
07-Aug-89,,,,,,,,,,,,,,0.6859
08-Aug-89,,,,,,,,,,,,,,0.6832
09-Aug-89,,,,,,,,,,,,,,0.6843
10-Aug-89,,,,,,,,,,,,,,0.6837
11-Aug-89,,,,,,,,,,,,,,0.6846
14-Aug-89,,,,,,,,,,,,,,0.6844
15-Aug-89,,,,,,,,,,,,,,0.687
16-Aug-89,,,,,,,,,,,,,,0.6857
17-Aug-89,,,,,,,,,,,,,,0.6862
18-Aug-89,,,,,,,,,,,,,,0.687
21-Aug-89,,,,,,,,,,,,,,0.6834
22-Aug-89,,,,,,,,,,,,,,0.6828
23-Aug-89,,,,,,,,,,,,,,0.6862
24-Aug-89,,,,,,,,,,,,,,0.6845
25-Aug-89,,,,,,,,,,,,,,0.6851
29-Aug-89,,,,,,,,,,,,,,0.6855
30-Aug-89,,,,,,,,,,,,,,0.6847
31-Aug-89,,,,,,,,,,,,,,0.6838
01-Sep-89,,,,,,,,,,,,,,0.6831
04-Sep-89,,,,,,,,,,,,,,0.685
05-Sep-89,,,,,,,,,,,,,,0.6875
06-Sep-89,,,,,,,,,,,,,,0.687
07-Sep-89,,,,,,,,,,,,,,0.6866
08-Sep-89,,,,,,,,,,,,,,0.6871
11-Sep-89,,,,,,,,,,,,,,0.6859
12-Sep-89,,,,,,,,,,,,,,0.6855
13-Sep-89,,,,,,,,,,,,,,0.6851
14-Sep-89,,,,,,,,,,,,,,0.6854
15-Sep-89,,,,,,,,,,,,,,0.6841
18-Sep-89,,,,,,,,,,,,,,0.6856
19-Sep-89,,,,,,,,,,,,,,0.686
20-Sep-89,,,,,,,,,,,,,,0.6847
21-Sep-89,,,,,,,,,,,,,,0.6846
22-Sep-89,,,,,,,,,,,,,,0.685
25-Sep-89,,,,,,,,,,,,,,0.6854
26-Sep-89,,,,,,,,,,,,,,0.6849
27-Sep-89,,,,,,,,,,,,,,0.6917
28-Sep-89,,,,,,,,,,,,,,0.6919
29-Sep-89,,,,,,,,,,,,,,0.691
02-Oct-89,,,,,,,,,,,,,,0.6904
03-Oct-89,,,,,,,,,,,,,,0.6916
